#hg19.knownGene.chrom	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.kgXref.kgID	hg19.kgXref.geneSymbol
chr1	16174358	16266950	uc001axk.1	SPEN
chr1	27022521	27102198	uc001bmt.1	ARID1A
chr1	27022521	27108601	uc001bmu.1	ARID1A
chr1	27022521	27108601	uc001bmv.1	ARID1A
chr1	27055870	27101711	uc001bmw.1	ARID1A
chr1	27097609	27108601	uc001bmx.1	ARID1A
chr1	39587984	39901433	uc001cda.1	MACF1
chr1	39765881	39839145	uc001cdb.1	MACF1
chr1	39549838	39901433	uc001cdc.2	MACF1
chr1	39927554	39952810	uc001cde.2	MACF1
chr1	39934264	39952656	uc001cdg.3	MACF1
chr1	39934286	39952656	uc001cdh.3	MACF1
chr1	27099305	27108601	uc009vsm.1	ARID1A
chr1	27100819	27108601	uc009vsn.1	ARID1A
chr1	39765881	39790406	uc009vvq.1	MACF1
chr1	16200609	16266950	uc010obp.1	SPEN
chr1	39547088	39568889	uc010oir.3	MACF1
chr1	39670422	39748740	uc010oit.1	MACF1
chr1	39549838	39952810	uc021olt.1	MACF1
chr1	39549838	39952810	uc031pmc.1	MACF1
chr1	39796855	39901433	uc031pmd.1	MACF1
chr1	39903448	39952810	uc031pme.1	MACF1
chr2	140988995	142889270	uc002tvj.1	LRP1B
chr2	178095030	178128617	uc002ulg.5	NFE2L2
chr2	178095030	178129859	uc002ulh.5	NFE2L2
chr2	178095030	178257419	uc002uli.5	NFE2L2
chr2	216225178	216257006	uc002vez.3	FN1
chr2	216225178	216300791	uc002vfa.3	FN1
chr2	216225178	216300791	uc002vfb.3	FN1
chr2	216225178	216300791	uc002vfc.3	FN1
chr2	216225178	216300791	uc002vfe.3	FN1
chr2	216225178	216300791	uc002vff.3	FN1
chr2	216225178	216300791	uc002vfg.3	FN1
chr2	216225178	216300791	uc002vfh.3	FN1
chr2	216225178	216300791	uc002vfi.3	FN1
chr2	216225178	216300791	uc002vfj.3	FN1
chr2	216229601	216242985	uc002vfk.1	FN1
chr2	216279383	216300791	uc002vfl.3	FN1
chr2	141607670	142889270	uc010fnl.1	LRP1B
chr2	178097004	178128617	uc010fra.3	NFE2L2
chr2	178098204	178128617	uc010frb.3	NFE2L2
chr2	216229601	216242985	uc010fva.1	FN1
chr2	216229601	216242985	uc010fvb.1	FN1
chr2	216235016	216248206	uc010fvc.1	FN1
chr2	216235016	216248206	uc010fvd.1	FN1
chr2	178095030	178128617	uc010zfa.3	NFE2L2
chr2	216225178	216257926	uc010zjp.2	FN1
chr3	178866310	178952497	uc003fjk.3	PIK3CA
chr4	55944425	55991762	uc003has.3	KDR
chr4	55945925	55991762	uc003hat.1	KDR
chr4	187508936	187644987	uc003izf.3	FAT1
chr4	187508936	187516980	uc010isn.3	FAT1
chr4	187627716	187647850	uc010iso.1	FAT1
chr4	55970759	55991762	uc011bzx.2	KDR
chr5	56110899	56191978	uc003jqw.4	MAP3K1
chr6	152011630	152424408	uc003qom.4	ESR1
chr6	152128453	152424408	uc003qon.4	ESR1
chr6	152128813	152424408	uc003qoo.4	ESR1
chr6	152126807	152424408	uc010kin.3	ESR1
chr6	152126807	152424408	uc010kio.3	ESR1
chr6	152126807	152424408	uc010kip.3	ESR1
chr6	152128813	152424408	uc010kiq.3	ESR1
chr6	152128813	152424408	uc010kir.3	ESR1
chr6	152163731	152424408	uc010kis.3	ESR1
chr6	152265307	152382259	uc010kit.1	ESR1
chr6	152163731	152424408	uc011eet.2	ESR1
chr6	152163731	152424408	uc011eeu.2	ESR1
chr6	152163731	152424408	uc011eev.2	ESR1
chr6	152163731	152424408	uc011eew.2	ESR1
chr6	152201789	152424408	uc011eex.2	ESR1
chr6	152265307	152424408	uc011eey.2	ESR1
chr6	152011630	152163922	uc021zgx.1	ESR1
chr6	152011630	152163922	uc021zgy.1	ESR1
chr6	152163731	152420056	uc021zgz.1	ESR1
chr6	152163858	152424408	uc021zha.1	ESR1
chr6	151977829	152129499	uc031spz.1	ESR1
